gml_id,tur,ad,geojson
bursa_park.52,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.099510159,40.177421591],[29.099510159,40.177421592],[29.099616991,40.177418037],[29.099615697,40.177490179],[29.10024802,40.177469097],[29.100259235,40.17731788],[29.100132508,40.177315797],[29.099972676,40.17731317],[29.099749354,40.1773095],[29.099651518,40.177307892],[29.099452324,40.177304617],[29.099510159,40.177421591]]]]}"
bursa_park.53,PARK,EĞITIM YENIKENT PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.106506446,40.183304137],[29.10652039,40.183412488],[29.106355701,40.183538735],[29.106443407,40.183733828],[29.106511201,40.183847636],[29.106524989,40.183944844],[29.106551856,40.183963547],[29.107176049,40.1839175],[29.107221912,40.183856224],[29.107044184,40.183872963],[29.106882334,40.183875988],[29.106709181,40.183304946],[29.106506446,40.183304137]]]]}"
bursa_park.81,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.968906978,40.216071805],[28.96892756,40.216046863],[28.969152861,40.215798881],[28.968759096,40.215761243],[28.968637802,40.215754183],[28.968543643,40.215855501],[28.968589278,40.215882653],[28.968906978,40.216071805]]]]}"
bursa_park.54,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.105624066,40.182040137],[29.105613866,40.18204141],[29.105606614,40.18204417],[29.105601153,40.182050322],[29.10559876,40.182060275],[29.10561289,40.182255169],[29.105620737,40.182262926],[29.105629484,40.18226731],[29.105646127,40.182269166],[29.105951681,40.182257443],[29.106093417,40.182248151],[29.106038365,40.182097859],[29.105970243,40.182112539],[29.105933914,40.182013357],[29.105791954,40.182043949],[29.105740132,40.182047573],[29.105624066,40.182040137]]]]}"
bursa_park.55,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.104614014,40.183880368],[29.104592858,40.183994813],[29.104586675,40.18411654],[29.104758716,40.184133827],[29.104799874,40.183892864],[29.104614014,40.183880368]]]]}"
bursa_park.56,PARK,B. GÜNEŞ PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.107281469,40.178778709],[29.107691079,40.178730689],[29.1077209,40.178727194],[29.108411402,40.178639684],[29.108429437,40.178555464],[29.108455178,40.178435263],[29.108432034,40.178430226],[29.108366619,40.178427896],[29.108109683,40.178418742],[29.1079162,40.178417252],[29.107811028,40.178432108],[29.107779694,40.178436534],[29.107728275,40.178440835],[29.10767659,40.178439314],[29.10746676,40.178421231],[29.107309919,40.178392372],[29.107257865,40.178570787],[29.107223456,40.178664162],[29.107222679,40.178676275],[29.107241482,40.178756768],[29.107243053,40.178761241],[29.107245597,40.178765443],[29.107249039,40.178769249],[29.107253278,40.178772548],[29.10725819,40.178775243],[29.10726363,40.178777255],[29.107269438,40.178778524],[29.107275444,40.178779013],[29.107281469,40.178778709]]]]}"
bursa_park.57,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.079097572,40.174405651],[29.079114246,40.17438151],[29.079131913,40.174355932],[29.078944726,40.174217653],[29.078886682,40.174167325],[29.078831337,40.174198064],[29.078754736,40.17424061],[29.078682738,40.1742806],[29.078717386,40.174325938],[29.078738664,40.174374373],[29.078757451,40.174459138],[29.078740606,40.174553741],[29.078720915,40.174660741],[29.07869877,40.174773853],[29.078729134,40.174784932],[29.078854945,40.174678074],[29.078899838,40.174628755],[29.07901985,40.174496907],[29.079097572,40.174405651]]]]}"
bursa_park.58,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.084267874,40.201587878],[29.084125651,40.201928945],[29.084701955,40.201956091],[29.084617659,40.201629021],[29.084267874,40.201587878]]]]}"
bursa_park.59,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.984308825,40.218186218],[28.984436404,40.218184285],[28.984431522,40.217887353],[28.984244868,40.217824029],[28.983886823,40.2181304],[28.983844938,40.218166234],[28.984438976,40.218340118],[28.984438171,40.218291753],[28.984437578,40.218255951],[28.984310688,40.218253442],[28.984308825,40.218186218]]]]}"
bursa_park.60,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.983661963,40.219617642],[28.983668773,40.21991659],[28.983885345,40.220619739],[28.983986955,40.22038424],[28.984140634,40.220123173],[28.984219102,40.219989772],[28.984217762,40.219906461],[28.983661963,40.219617642]]]]}"
